IIT Goa,15
IIT Palakkad,13
IIT Tirupati,5


Institute,Himachal Pradesh students
Unalloted,33
IIT Kanpur,5
IIT Jodhpur,4
IIT Kharagpur,4
IIT Roorkee,4
IIT Delhi,3
IIT (BHU) Varanasi,2
IIT Guwahati,2
IIT Gandhinagar,1
IIT Bhubaneswar,1
IIT Patna,1
IIT Bombay,1
IIT Dharwad,1


Institute,UAE students
Unalloted,22
IIT Kharagpur,2
IIT Kanpur,2
IIT Madras,2
IIT (ISM) Dhanbad,1
IIT (BHU) Varanasi,1
IIT Indore,1
IIT Roorkee,1
IIT Gandhinagar,1
IIT Tirupati,1
IIT Hyderabad,1


Institute,Arunachal Pradesh students
Unalloted,44
IIT (BHU) Varanasi,2
IIT Patna,2
IIT Ropar,2
IIT (ISM) Dhanbad,2
IIT Roorkee,1
IIT Jodhpur,1
IIT Madras,1
IIT Bombay,1
IIT Indore,1
IIT Guwahati,1


Institute,Assam students
Unalloted,531
IIT Guwahati,37
IIT (ISM) Dhanbad,31
IIT Kharagpur,21
IIT Patna,21
IIT (BHU) Varanasi,21
IIT Roorkee,20
IIT Delhi,16
IIT Bombay,14
IIT Kanpur,11
IIT Bhubaneswar,7
IIT Indore,6
IIT Jodhpur,5
IIT Madras,5
IIT Tirupati,5
IIT Dharwad,5
IIT Bhilai,4
IIT Ropar,4
IIT Mandi,4
IIT Hyderabad,3
IIT Gandhinagar,2
IIT Goa,2
IIT Palakkad,1
IIT Jammu,1


Institute,Manipur students
Unalloted,17
IIT Bhubaneswar,1
IIT Kanpur,1
IIT Palakkad,1


Institute,Meghalaya students
Unalloted,24
IIT Bombay,1
IIT Guwahati,1
IIT Gandhinagar,1


Institute,Nagaland students
Unalloted,23
IIT Bhubaneswar,1
IIT Jammu,1


Institute,West Bengal students
Unalloted,1452
IIT Kharagpur,174
IIT (BHU) Varanasi,57
IIT (ISM) Dhanbad,55
IIT Patna,43
IIT Guwahati,43
IIT Kanpur,33
IIT Bhubaneswar,27
IIT Delhi,25
IIT Bombay,23
IIT Roorkee,23
IIT Madras,19
IIT Bhilai,12
IIT Jodhpur,11
IIT Hyderabad,10
IIT Mandi,7
IIT Dharwad,6
IIT Jammu,4
IIT Palakkad,3
IIT Tirupati,2
IIT Goa,2
IIT Indore,2
IIT Ropar,1
IIT Gandhinagar,1


Institute,Andaman and Nicobar Islands students
Unalloted,3


Institute,Andhra Pradesh students
Unalloted,2746
IIT Kharagpur,238
IIT Madras,183
IIT (ISM) Dhanbad,171
IIT Bhubaneswar,141
IIT Hyderabad,105
IIT Tirupati,97
IIT (BHU) Varanasi,88
IIT Guwahati,85
IIT Patna,83
IIT Dharwad,78
IIT Bombay,76
IIT Indore,52
IIT Palakkad,52
IIT Bhilai,51
IIT Roorkee,48
IIT Kanpur,45
IIT Gandhinagar,29
IIT Jodhpur,27
IIT Delhi,25
IIT Jammu,22
IIT Ropar,19
IIT Goa,16
IIT Mandi,15


Institute,Chhattisgarh students
Unalloted,383
IIT Kharagpur,20
IIT Bombay,17
IIT Roorkee,12
IIT (ISM) Dhanbad,12
IIT Kanpur,8
IIT Patna,8
IIT (BHU) Varanasi,8
IIT Delhi,7
IIT Bhilai,7
IIT Guwahati,6
IIT Madras,5
IIT Bhubaneswar,4
IIT Ropar,4
IIT Hyderabad,4
IIT Gandhinagar,4
IIT Jammu,3
IIT Mandi,3
IIT Dharwad,3
IIT Tirupati,2
IIT Indore,2
IIT Jodhpur,1


Institute,Jharkhand students
Unalloted,542
IIT Kharagpur,57
IIT (ISM) Dhanbad,51
IIT (BHU) Varanasi,35
IIT Kanpur,26
IIT Guwahati,18
IIT Bombay,14
IIT Patna,13
IIT Delhi,12
IIT Roorkee,10
IIT Bhubaneswar,8
IIT Madras,6
IIT Bhilai,6
IIT Mandi,5
IIT Ropar,4
IIT Hyderabad,3
IIT Gandhinagar,2
IIT Indore,2
IIT Jodhpur,2
IIT Palakkad,2
IIT Goa,1
IIT Jammu,1
IIT Dharwad,1


Institute,Odisha students
Unalloted,352
IIT Kharagpur,43
IIT (BHU) Varanasi,19
IIT (ISM) Dhanbad,14
IIT Bhubaneswar,14
IIT Bombay,13
IIT Guwahati,13
IIT Delhi,11
IIT Kanpur,8
IIT Patna,7
IIT Roorkee,4
IIT Hyderabad,4
IIT Mandi,3
IIT Gandhinagar,3
IIT Madras,3
IIT Dharwad,2
IIT Ropar,2
IIT Jodhpur,1
IIT Goa,1
IIT Palakkad,1
IIT Indore,1
IIT Jammu,1
IIT Bhilai,1


Institute,Kerala students
Unalloted,389
IIT Madras,53
IIT Kharagpur,25
IIT Palakkad,22
IIT Bombay,20
IIT Hyderabad,18
IIT (BHU) Varanasi,16
IIT Kanpur,12
IIT Guwahati,11
IIT Delhi,11
IIT (ISM) Dhanbad,8
IIT Ropar,7
IIT Patna,5
IIT Gandhinagar,4
IIT Roorkee,4
IIT Tirupati,4
IIT Indore,4
IIT Mandi,3
IIT Bhubaneswar,3
IIT Jodhpur,3
IIT Jammu,2
IIT Bhilai,2
IIT Dharwad,2
IIT Goa,1


Institute,Puducherry students
Unalloted,33
IIT Madras,7
IIT Tirupati,2
IIT (ISM) Dhanbad,2
IIT Kanpur,2
IIT Hyderabad,2
IIT Kharagpur,1
IIT Bhubaneswar,1
IIT Roorkee,1
IIT Jammu,1
IIT Guwahati,1


Institute,Tamil Nadu students
Unalloted,775
IIT Madras,214
IIT Kharagpur,55
IIT Bombay,32
IIT Hyderabad,23
IIT Delhi,21
IIT Kanpur,21
IIT Tirupati,19
IIT (BHU) Varanasi,16
IIT Guwahati,16
IIT Indore,12
IIT Roorkee,12
IIT Patna,10
IIT Bhubaneswar,9
IIT Palakkad,9
IIT Dharwad,9
IIT Ropar,8
IIT (ISM) Dhanbad,8
IIT Gandhinagar,6
IIT Jodhpur,6
IIT Mandi,4
IIT Bhilai,2
IIT Goa,1


Institute,Telangana students
Unalloted,3802
IIT Kharagpur,237
IIT Hyderabad,222
IIT Madras,189
IIT (ISM) Dhanbad,140
IIT Bombay,119
IIT (BHU) Varanasi,118
IIT Guwahati,106
IIT Bhubaneswar,103
IIT Patna,102
IIT Kanpur,94
IIT Indore,87
IIT Roorkee,77
IIT Dharwad,61
IIT Jodhpur,60
IIT Tirupati,55
IIT Palakkad,47
IIT Gandhinagar,46
IIT Bhilai,45
IIT Mandi,41
IIT Delhi,38
IIT Ropar,31
IIT Goa,17
IIT Jammu,16


Institute,Uttarakhand students
Unalloted,2045
IIT Roorkee,192
IIT Delhi,122
IIT Ropar,111
IIT (BHU) Varanasi,92
IIT Kanpur,84
IIT Mandi,77
IIT Guwahati,65
IIT Bombay,64
IIT Jammu,57
IIT Patna,53
IIT Kharagpur,50
IIT Jodhpur,37
IIT (ISM) Dhanbad,36
IIT Indore,28
IIT Madras,15
IIT Dharwad,14
IIT Gandhinagar,14
IIT Bhubaneswar,11
IIT Bhilai,9
IIT Hyderabad,8
IIT Tirupati,6
IIT Goa,6
IIT Palakkad,3


Institute,Nepal students
Unalloted,2
IIT Bhubaneswar,1


Institute,Goa students
Unalloted,35
IIT Kharagpur,3
IIT Madras,3
IIT Guwahati,2
IIT Delhi,1
IIT Gandhinagar,1
IIT (ISM) Dhanbad,1
IIT Dharwad,1
IIT Indore,1
IIT (BHU) Varanasi,1
IIT Patna,1


Institute,Gujarat students
Unalloted,1239
IIT Gandhinagar,86
IIT Bombay,74
IIT Jodhpur,63
IIT Roorkee,62
IIT Kharagpur,59
IIT (BHU) Varanasi,44
IIT Delhi,44
IIT Kanpur,41
IIT Guwahati,39
IIT (ISM) Dhanbad,36
IIT Madras,23
IIT Goa,21
IIT Indore,21
IIT Patna,20
IIT Mandi,20
IIT Ropar,16
IIT Hyderabad,11
IIT Bhubaneswar,9
IIT Palakkad,9
IIT Dharwad,8
IIT Bhilai,7
IIT Jammu,6
IIT Tirupati,2


Institute,Dadra and Nagar Haveli and Daman and Diu students
Unalloted,7
IIT Kharagpur,1


Institute,Karnataka students
Unalloted,1350
IIT Madras,135
IIT Kharagpur,94
IIT Bombay,72
IIT (BHU) Varanasi,68
IIT Kanpur,65
IIT Guwahati,53
IIT Hyderabad,51
IIT Dharwad,46
IIT Roorkee,43
IIT (ISM) Dhanbad,31
IIT Delhi,30
IIT Patna,25
IIT Bhubaneswar,24
IIT Indore,22
IIT Gandhinagar,21
IIT Jodhpur,18
IIT Mandi,15
IIT Goa,10
IIT Tirupati,10
IIT Bhilai,9
IIT Ropar,9
IIT Palakkad,7
IIT Jammu,4


Institute,Madhya Pradesh students
Unalloted,307
IIT Kharagpur,21
IIT (BHU) Varanasi,18
IIT Bombay,12
IIT Roorkee,12
IIT Madras,11
IIT (ISM) Dhanbad,10
IIT Kanpur,9
IIT Delhi,9
IIT Patna,8
IIT Guwahati,8
IIT Jodhpur,7
IIT Indore,7
IIT Hyderabad,6
IIT Dharwad,5
IIT Bhubaneswar,4
IIT Tirupati,3
IIT Bhilai,3
IIT Ropar,3
IIT Gandhinagar,2
IIT Palakkad,2
IIT Mandi,1
IIT Goa,1
IIT Jammu,1


Institute,Maharashtra students
Unalloted,3082
IIT Bombay,343
IIT Kharagpur,237
IIT (BHU) Varanasi,165
IIT Kanpur,137
IIT Madras,134
IIT Roorkee,123
IIT Guwahati,105
IIT Delhi,91
IIT Jodhpur,91
IIT Indore,84
IIT Gandhinagar,82
IIT Patna,76
IIT (ISM) Dhanbad,75
IIT Hyderabad,53
IIT Dharwad,51
IIT Mandi,44
IIT Goa,39
IIT Bhubaneswar,36
IIT Ropar,32
IIT Bhilai,30
IIT Tirupati,18
IIT Jammu,15
IIT Palakkad,10


Institute,Delhi students
Unalloted,1256
IIT Delhi,128
IIT Roorkee,75
IIT Kanpur,62
IIT (BHU) Varanasi,47
IIT (ISM) Dhanbad,41
IIT Kharagpur,39
IIT Mandi,32
IIT Guwahati,28
IIT Bombay,24
IIT Jodhpur,23
IIT Patna,23
IIT Ropar,18
IIT Madras,13
IIT Jammu,12
IIT Gandhinagar,10
IIT Bhilai,7
IIT Bhubaneswar,6
IIT Dharwad,5
IIT Goa,5
IIT Indore,5
IIT Hyderabad,5
IIT Tirupati,4
IIT Palakkad,3


Institute,Uttar Pradesh students
Unalloted,5327
IIT (BHU) Varanasi,383
IIT Delhi,279
IIT Roorkee,273
IIT Kanpur,256
IIT Kharagpur,208
IIT Bombay,187
IIT (ISM) Dhanbad,175
IIT Patna,145
IIT Guwahati,125
IIT Mandi,107
IIT Indore,85
IIT Jodhpur,81
IIT Ropar,58
IIT Jammu,56
IIT Bhilai,51
IIT Bhubaneswar,44
IIT Madras,41
IIT Dharwad,37
IIT Hyderabad,28
IIT Gandhinagar,23
IIT Goa,16
IIT Palakkad,14
IIT Tirupati,13


Institute,Haryana students
Unalloted,355
IIT Delhi,62
IIT Roorkee,36
IIT (BHU) Varanasi,33
IIT Kanpur,27
IIT Guwahati,26
IIT Mandi,21
IIT Bombay,19
IIT Kharagpur,18
IIT (ISM) Dhanbad,17
IIT Ropar,13
IIT Jammu,10
IIT Gandhinagar,10
IIT Patna,8
IIT Jodhpur,7
IIT Indore,7
IIT Bhubaneswar,6
IIT Hyderabad,4
IIT Madras,4
IIT Dharwad,3
IIT Tirupati,3
IIT Bhilai,3


Institute,Bihar students
Unalloted,899
IIT Patna,60
IIT Kharagpur,54
IIT (BHU) Varanasi,54
IIT (ISM) Dhanbad,47
IIT Kanpur,38
IIT Roorkee,34
IIT Delhi,27
IIT Guwahati,26
IIT Bombay,19
IIT Ropar,17
IIT Mandi,13
IIT Dharwad,11
IIT Jodhpur,11
IIT Bhilai,10
IIT Indore,8
IIT Bhubaneswar,7
IIT Madras,5
IIT Jammu,5
IIT Gandhinagar,5
IIT Hyderabad,4
IIT Tirupati,3
IIT Goa,3
IIT Palakkad,1


Institute,Jammu and Kashmir students
Unalloted,141
IIT Jammu,7
IIT Delhi,6
IIT Madras,5
IIT Roorkee,4
IIT (BHU) Varanasi,4
IIT Ropar,4
IIT Hyderabad,4
IIT (ISM) Dhanbad,4
IIT Kanpur,3
IIT Patna,2
IIT Guwahati,2
IIT Mandi,2
IIT Bombay,2
IIT Tirupati,1
IIT Kharagpur,1
IIT Jodhpur,1
IIT Dharwad,1


Institute,Ladakh students
Unalloted,12
IIT Roorkee,1


Institute,Rajasthan students
Unalloted,3325
IIT (BHU) Varanasi,280
IIT Roorkee,279
IIT Kharagpur,253
IIT Delhi,245
IIT Kanpur,226
IIT Bombay,224
IIT Guwahati,144
IIT (ISM) Dhanbad,139
IIT Jodhpur,131
IIT Mandi,97
IIT Patna,90
IIT Ropar,67
IIT Madras,53
IIT Gandhinagar,47
IIT Jammu,47
IIT Indore,45
IIT Hyderabad,28
IIT Bhubaneswar,28
IIT Dharwad,24
IIT Bhilai,23
IIT Goa,15
IIT Palakkad,13
IIT Tirupati,5


Institute,Himachal Pradesh students
Unalloted,33
IIT Kanpur,5
IIT Jodhpur,4
IIT Kharagpur,4
IIT Roorkee,4
IIT Delhi,3
IIT (BHU) Varanasi,2
IIT Guwahati,2
IIT Gandhinagar,1
IIT Bhubaneswar,1
IIT Patna,1
IIT Bombay,1
IIT Dharwad,1


Institute,UAE students
Unalloted,22
IIT Kharagpur,2
IIT Kanpur,2
IIT Madras,2
IIT (ISM) Dhanbad,1
IIT (BHU) Varanasi,1
IIT Indore,1
IIT Roorkee,1
IIT Gandhinagar,1
IIT Tirupati,1
IIT Hyderabad,1


Institute,Arunachal Pradesh students
Unalloted,44
IIT (BHU) Varanasi,2
IIT Patna,2
IIT Ropar,2
IIT (ISM) Dhanbad,2
IIT Roorkee,1
IIT Jodhpur,1
IIT Madras,1
IIT Bombay,1
IIT Indore,1
IIT Guwahati,1


Institute,Assam students
Unalloted,531
IIT Guwahati,37
IIT (ISM) Dhanbad,31
IIT Kharagpur,21
IIT Patna,21
IIT (BHU) Varanasi,21
IIT Roorkee,20
IIT Delhi,16
IIT Bombay,14
IIT Kanpur,11
IIT Bhubaneswar,7
IIT Indore,6
IIT Jodhpur,5
IIT Madras,5
IIT Tirupati,5
IIT Dharwad,5
IIT Bhilai,4
IIT Ropar,4
IIT Mandi,4
IIT Hyderabad,3
IIT Gandhinagar,2
IIT Goa,2
IIT Palakkad,1
IIT Jammu,1


Institute,Manipur students
Unalloted,17
IIT Bhubaneswar,1
IIT Kanpur,1
IIT Palakkad,1


Institute,Meghalaya students
Unalloted,24
IIT Bombay,1
IIT Guwahati,1
IIT Gandhinagar,1


Institute,Nagaland students
Unalloted,23
IIT Bhubaneswar,1
IIT Jammu,1


Institute,West Bengal students
Unalloted,1452
IIT Kharagpur,174
IIT (BHU) Varanasi,57
IIT (ISM) Dhanbad,55
IIT Patna,43
IIT Guwahati,43
IIT Kanpur,33
IIT Bhubaneswar,27
IIT Delhi,25
IIT Bombay,23
IIT Roorkee,23
IIT Madras,19
IIT Bhilai,12
IIT Jodhpur,11
IIT Hyderabad,10
IIT Mandi,7
IIT Dharwad,6
IIT Jammu,4
IIT Palakkad,3
IIT Tirupati,2
IIT Goa,2
IIT Indore,2
IIT Ropar,1
IIT Gandhinagar,1


Institute,Andaman and Nicobar Islands students
Unalloted,3


Institute,Andhra Pradesh students
Unalloted,2746
IIT Kharagpur,238
IIT Madras,183
IIT (ISM) Dhanbad,171
IIT Bhubaneswar,141
IIT Hyderabad,105
IIT Tirupati,97
IIT (BHU) Varanasi,88
IIT Guwahati,85
IIT Patna,83
IIT Dharwad,78
IIT Bombay,76
IIT Indore,52
IIT Palakkad,52
IIT Bhilai,51
IIT Roorkee,48
IIT Kanpur,45
IIT Gandhinagar,29
IIT Jodhpur,27
IIT Delhi,25
IIT Jammu,22
IIT Ropar,19
IIT Goa,16
IIT Mandi,15


Institute,Chhattisgarh students
Unalloted,383
IIT Kharagpur,20
IIT Bombay,17
IIT Roorkee,12
IIT (ISM) Dhanbad,12
IIT Kanpur,8
IIT Patna,8
IIT (BHU) Varanasi,8
IIT Delhi,7
IIT Bhilai,7
IIT Guwahati,6
IIT Madras,5
IIT Bhubaneswar,4
IIT Ropar,4
IIT Hyderabad,4
IIT Gandhinagar,4
IIT Jammu,3
IIT Mandi,3
IIT Dharwad,3
IIT Tirupati,2
IIT Indore,2
IIT Jodhpur,1


Institute,Jharkhand students
Unalloted,542
IIT Kharagpur,57
IIT (ISM) Dhanbad,51
IIT (BHU) Varanasi,35
IIT Kanpur,26
IIT Guwahati,18
IIT Bombay,14
IIT Patna,13
IIT Delhi,12
IIT Roorkee,10
IIT Bhubaneswar,8
IIT Madras,6
IIT Bhilai,6
IIT Mandi,5
IIT Ropar,4
IIT Hyderabad,3
IIT Gandhinagar,2
IIT Indore,2
IIT Jodhpur,2
IIT Palakkad,2
IIT Goa,1
IIT Jammu,1
IIT Dharwad,1


Institute,Odisha students
Unalloted,352
IIT Kharagpur,43
IIT (BHU) Varanasi,19
IIT (ISM) Dhanbad,14
IIT Bhubaneswar,14
IIT Bombay,13
IIT Guwahati,13
IIT Delhi,11
IIT Kanpur,8
IIT Patna,7
IIT Roorkee,4
IIT Hyderabad,4
IIT Mandi,3
IIT Gandhinagar,3
IIT Madras,3
IIT Dharwad,2
IIT Ropar,2
IIT Jodhpur,1
IIT Goa,1
IIT Palakkad,1
IIT Indore,1
IIT Jammu,1
IIT Bhilai,1


Institute,Kerala students
Unalloted,389
IIT Madras,53
IIT Kharagpur,25
IIT Palakkad,22
IIT Bombay,20
IIT Hyderabad,18
IIT (BHU) Varanasi,16
IIT Kanpur,12
IIT Guwahati,11
IIT Delhi,11
IIT (ISM) Dhanbad,8
IIT Ropar,7
IIT Patna,5
IIT Gandhinagar,4
IIT Roorkee,4
IIT Tirupati,4
IIT Indore,4
IIT Mandi,3
IIT Bhubaneswar,3
IIT Jodhpur,3
IIT Jammu,2
IIT Bhilai,2
IIT Dharwad,2
IIT Goa,1


Institute,Puducherry students
Unalloted,33
IIT Madras,7
IIT Tirupati,2
IIT (ISM) Dhanbad,2
IIT Kanpur,2
IIT Hyderabad,2
IIT Kharagpur,1
IIT Bhubaneswar,1
IIT Roorkee,1
IIT Jammu,1
IIT Guwahati,1


Institute,Tamil Nadu students
Unalloted,775
IIT Madras,214
IIT Kharagpur,55
IIT Bombay,32
IIT Hyderabad,23
IIT Delhi,21
IIT Kanpur,21
IIT Tirupati,19
IIT (BHU) Varanasi,16
IIT Guwahati,16
IIT Indore,12
IIT Roorkee,12
IIT Patna,10
IIT Bhubaneswar,9
IIT Palakkad,9
IIT Dharwad,9
IIT Ropar,8
IIT (ISM) Dhanbad,8
IIT Gandhinagar,6
IIT Jodhpur,6
IIT Mandi,4
IIT Bhilai,2
IIT Goa,1


Institute,Telangana students
Unalloted,3802
IIT Kharagpur,237
IIT Hyderabad,222
IIT Madras,189
IIT (ISM) Dhanbad,140
IIT Bombay,119
IIT (BHU) Varanasi,118
IIT Guwahati,106
IIT Bhubaneswar,103
IIT Patna,102
IIT Kanpur,94
IIT Indore,87
IIT Roorkee,77
IIT Dharwad,61
IIT Jodhpur,60
IIT Tirupati,55
IIT Palakkad,47
IIT Gandhinagar,46
IIT Bhilai,45
IIT Mandi,41
IIT Delhi,38
IIT Ropar,31
IIT Goa,17
IIT Jammu,16


Institute,Uttarakhand students
Unalloted,2045
IIT Roorkee,192
IIT Delhi,122
IIT Ropar,111
IIT (BHU) Varanasi,92
IIT Kanpur,84
IIT Mandi,77
IIT Guwahati,65
IIT Bombay,64
IIT Jammu,57
IIT Patna,53
IIT Kharagpur,50
IIT Jodhpur,37
IIT (ISM) Dhanbad,36
IIT Indore,28
IIT Madras,15
IIT Dharwad,14
IIT Gandhinagar,14
IIT Bhubaneswar,11
IIT Bhilai,9
IIT Hyderabad,8
IIT Tirupati,6
IIT Goa,6
IIT Palakkad,3


Institute,Nepal students
Unalloted,2
IIT Bhubaneswar,1


Institute,Goa students
Unalloted,35
IIT Kharagpur,3
IIT Madras,3
IIT Guwahati,2
IIT Delhi,1
IIT Gandhinagar,1
IIT (ISM) Dhanbad,1
IIT Dharwad,1
IIT Indore,1
IIT (BHU) Varanasi,1
IIT Patna,1


Institute,Gujarat students
Unalloted,1239
IIT Gandhinagar,86
IIT Bombay,74
IIT Jodhpur,63
IIT Roorkee,62
IIT Kharagpur,59
IIT (BHU) Varanasi,44
IIT Delhi,44
IIT Kanpur,41
IIT Guwahati,39
IIT (ISM) Dhanbad,36
IIT Madras,23
IIT Goa,21
IIT Indore,21
IIT Patna,20
IIT Mandi,20
IIT Ropar,16
IIT Hyderabad,11
IIT Bhubaneswar,9
IIT Palakkad,9
IIT Dharwad,8
IIT Bhilai,7
IIT Jammu,6
IIT Tirupati,2


Institute,Dadra and Nagar Haveli and Daman and Diu students
Unalloted,7
IIT Kharagpur,1


Institute,Karnataka students
Unalloted,1350
IIT Madras,135
IIT Kharagpur,94
IIT Bombay,72
IIT (BHU) Varanasi,68
IIT Kanpur,65
IIT Guwahati,53
IIT Hyderabad,51
IIT Dharwad,46
IIT Roorkee,43
IIT (ISM) Dhanbad,31
IIT Delhi,30
IIT Patna,25
IIT Bhubaneswar,24
IIT Indore,22
IIT Gandhinagar,21
IIT Jodhpur,18
IIT Mandi,15
IIT Goa,10
IIT Tirupati,10
IIT Bhilai,9
IIT Ropar,9
IIT Palakkad,7
IIT Jammu,4


Institute,Madhya Pradesh students
Unalloted,307
IIT Kharagpur,21
IIT (BHU) Varanasi,18
IIT Bombay,12
IIT Roorkee,12
IIT Madras,11
IIT (ISM) Dhanbad,10
IIT Kanpur,9
IIT Delhi,9
IIT Patna,8
IIT Guwahati,8
IIT Jodhpur,7
IIT Indore,7
IIT Hyderabad,6
IIT Dharwad,5
IIT Bhubaneswar,4
IIT Tirupati,3
IIT Bhilai,3
IIT Ropar,3
IIT Gandhinagar,2
IIT Palakkad,2
IIT Mandi,1
IIT Goa,1
IIT Jammu,1


Institute,Maharashtra students
Unalloted,3082
IIT Bombay,343
IIT Kharagpur,237
IIT (BHU) Varanasi,165
IIT Kanpur,137
IIT Madras,134
IIT Roorkee,123
IIT Guwahati,105
IIT Delhi,91
IIT Jodhpur,91
IIT Indore,84
IIT Gandhinagar,82
IIT Patna,76
IIT (ISM) Dhanbad,75
IIT Hyderabad,53
IIT Dharwad,51
IIT Mandi,44
IIT Goa,39
IIT Bhubaneswar,36
IIT Ropar,32
IIT Bhilai,30
IIT Tirupati,18
IIT Jammu,15
IIT Palakkad,10


Institute,Delhi students
Unalloted,1256
IIT Delhi,128
IIT Roorkee,75
IIT Kanpur,62
IIT (BHU) Varanasi,47
IIT (ISM) Dhanbad,41
IIT Kharagpur,39
IIT Mandi,32
IIT Guwahati,28
IIT Bombay,24
IIT Jodhpur,23
IIT Patna,23
IIT Ropar,18
IIT Madras,13
IIT Jammu,12
IIT Gandhinagar,10
IIT Bhilai,7
IIT Bhubaneswar,6
IIT Dharwad,5
IIT Goa,5
IIT Indore,5
IIT Hyderabad,5
IIT Tirupati,4
IIT Palakkad,3


Institute,Uttar Pradesh students
Unalloted,5327
IIT (BHU) Varanasi,383
IIT Delhi,279
IIT Roorkee,273
IIT Kanpur,256
IIT Kharagpur,208
IIT Bombay,187
IIT (ISM) Dhanbad,175
IIT Patna,145
IIT Guwahati,125
IIT Mandi,107
IIT Indore,85
IIT Jodhpur,81
IIT Ropar,58
IIT Jammu,56
IIT Bhilai,51
IIT Bhubaneswar,44
IIT Madras,41
IIT Dharwad,37
IIT Hyderabad,28
IIT Gandhinagar,23
IIT Goa,16
IIT Palakkad,14
IIT Tirupati,13


Institute,Haryana students
Unalloted,355
IIT Delhi,62
IIT Roorkee,36
IIT (BHU) Varanasi,33
IIT Kanpur,27
IIT Guwahati,26
IIT Mandi,21
IIT Bombay,19
IIT Kharagpur,18
IIT (ISM) Dhanbad,17
IIT Ropar,13
IIT Jammu,10
IIT Gandhinagar,10
IIT Patna,8
IIT Jodhpur,7
IIT Indore,7
IIT Bhubaneswar,6
IIT Hyderabad,4
IIT Madras,4
IIT Dharwad,3
IIT Tirupati,3
IIT Bhilai,3


Institute,Bihar students
Unalloted,899
IIT Patna,60
IIT Kharagpur,54
IIT (BHU) Varanasi,54
IIT (ISM) Dhanbad,47
IIT Kanpur,38
IIT Roorkee,34
IIT Delhi,27
IIT Guwahati,26
IIT Bombay,19
IIT Ropar,17
IIT Mandi,13
IIT Dharwad,11
IIT Jodhpur,11
IIT Bhilai,10
IIT Indore,8
IIT Bhubaneswar,7
IIT Madras,5
IIT Jammu,5
IIT Gandhinagar,5
IIT Hyderabad,4
IIT Tirupati,3
IIT Goa,3
IIT Palakkad,1


Institute,Jammu and Kashmir students
Unalloted,141
IIT Jammu,7
IIT Delhi,6
IIT Madras,5
IIT Roorkee,4
IIT (BHU) Varanasi,4
IIT Ropar,4
IIT Hyderabad,4
IIT (ISM) Dhanbad,4
IIT Kanpur,3
IIT Patna,2
IIT Guwahati,2
IIT Mandi,2
IIT Bombay,2
IIT Tirupati,1
IIT Kharagpur,1
IIT Jodhpur,1
IIT Dharwad,1


Institute,Ladakh students
Unalloted,12
IIT Roorkee,1


Institute,Rajasthan students
Unalloted,3325
IIT (BHU) Varanasi,280
IIT Roorkee,279
IIT Kharagpur,253
IIT Delhi,245
IIT Kanpur,226
IIT Bombay,224
IIT Guwahati,144
IIT (ISM) Dhanbad,139
IIT Jodhpur,131
IIT Mandi,97
IIT Patna,90
IIT Ropar,67
IIT Madras,53
IIT Gandhinagar,47
IIT Jammu,47
IIT Indore,45
IIT Hyderabad,28
IIT Bhubaneswar,28
IIT Dharwad,24
IIT Bhilai,23
IIT Goa,15
IIT Palakkad,13
IIT Tirupati,5


Institute,Himachal Pradesh students
Unalloted,33
IIT Kanpur,5
IIT Jodhpur,4
IIT Kharagpur,4
IIT Roorkee,4
IIT Delhi,3
IIT (BHU) Varanasi,2
IIT Guwahati,2
IIT Gandhinagar,1
IIT Bhubaneswar,1
IIT Patna,1
IIT Bombay,1
IIT Dharwad,1


Institute,UAE students
Unalloted,22
IIT Kharagpur,2
IIT Kanpur,2
IIT Madras,2
IIT (ISM) Dhanbad,1
IIT (BHU) Varanasi,1
IIT Indore,1
IIT Roorkee,1
IIT Gandhinagar,1
IIT Tirupati,1
IIT Hyderabad,1


Institute,Arunachal Pradesh students
Unalloted,44
IIT (BHU) Varanasi,2
IIT Patna,2
IIT Ropar,2
IIT (ISM) Dhanbad,2
IIT Roorkee,1
IIT Jodhpur,1
IIT Madras,1
IIT Bombay,1
IIT Indore,1
IIT Guwahati,1


Institute,Assam students
Unalloted,531
IIT Guwahati,37
IIT (ISM) Dhanbad,31
IIT Kharagpur,21
IIT Patna,21
IIT (BHU) Varanasi,21
IIT Roorkee,20
IIT Delhi,16
IIT Bombay,14
IIT Kanpur,11
IIT Bhubaneswar,7
IIT Indore,6
IIT Jodhpur,5
IIT Madras,5
IIT Tirupati,5
IIT Dharwad,5
IIT Bhilai,4
IIT Ropar,4
IIT Mandi,4
IIT Hyderabad,3
IIT Gandhinagar,2
IIT Goa,2
IIT Palakkad,1
IIT Jammu,1


Institute,Manipur students
Unalloted,17
IIT Bhubaneswar,1
IIT Kanpur,1
IIT Palakkad,1


Institute,Meghalaya students
Unalloted,24
IIT Bombay,1
IIT Guwahati,1
IIT Gandhinagar,1


Institute,Nagaland students
Unalloted,23
IIT Bhubaneswar,1
IIT Jammu,1


Institute,West Bengal students
Unalloted,1452
IIT Kharagpur,174
IIT (BHU) Varanasi,57
